No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011637AT7X,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,676
M1011634AT7X,CODE ATH. CLUB GRAPHIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
Y3110021A6FY,TRAINER SOCK 3 PACK,M,31,UNDERWEAR/SLEEP,Z6,Socks,2.000000000000000000,198
M6010710A8ZU,VINTAGE VL HERITAGE VEST,M,60,TOPS,T8,Jersey Vest,2.000000000000000000,278
M7010793A3LS,CORE CARGO,M,70,PANT,B4,Woven Pant,2.000000000000000000,738
M7110397A8FB,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,1.000000000000000000,279
M7110397A92N,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,1.000000000000000000,279
M7110355A02A,CODE ESSENTIAL OVERDYED SHORT,M,71,SHORT,B9,Jersey Short,1.000000000000000000,279
M7110355A8PS,CODE ESSENTIAL OVERDYED SHORT,M,71,SHORT,B9,Jersey Short,1.000000000000000000,279

