No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M2012401A7PN,VINTAGE LOGO EMB ZIPHOOD,M,20,SWEATS,G2,Zip Hood,5.000000000000000000,770
M1011453A02A,CODE XPD EMB LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,336
M3010193AMCJ,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,4.000000000000000000,216
W6011278A6WV,VINTAGE BEACH CAMI TOP,G,60,TOPS,T7,Woven Tops (W),3.000000000000000000,141
WF310170AECQ,CODE CORE POOL SLIDE,G,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,192
M1011637A02A,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M1011822ABII,RS FOOTBALL ARGENTINA TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,327
M1011252B42Q,STUDIOS POCKET TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),3.000000000000000000,192
MS311304AADQ,CORE LOOSE SS TEE,M,S3,Sports Apparel,1T,Sports Tops,3.000000000000000000,237
MS311304ACNS,CORE LOOSE SS TEE,M,S3,Sports Apparel,1T,Sports Tops,3.000000000000000000,237

