No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011581A71D,VINTAGE TRIBAL SURF TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),9.000000000000000000,983
MF110248AKH7,CODE CHUNKY BASKET TRAINER,M,F1,SHOE,V6,Trainer,3.000000000000000000,918
M4010608AVYJ,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,864
M1011585A18C,VINTAGE CREATURES TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,782
M7010890A9EC,VINTAGE SKINNY JEANS,M,70,PANT,B2,Denim Pant,3.000000000000000000,689
M1011558AT7X,CODE STACKED LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,676
M5011459AGEQ,VINTAGE VARSITY CORD BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
M1110343B02A,CLASSIC PIQUE POLO,M,11,POLO,T1,Pique Polo (M),4.000000000000000000,636
M1011585A7UF,VINTAGE CREATURES TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,575
M4010653A98T,COTTON LS OXFORD SHIRT,M,40,SHIRT,R2,L/S Shirt (M),3.000000000000000000,558

