No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
Y3110021A6FY,TRAINER SOCK 3 PACK,M,31,UNDERWEAR/SLEEP,Z6,Socks,4.000000000000000000,396
M3010220ATSW,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,697
M1011559AHSZ,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M2012062AJKE,CODE SL TAPE TRACK TOP,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,368
M3110349AGS8,TRUNK OFFSET DOUBLE PACK,M,31,UNDERWEAR/SLEEP,UN,Underwear (M),2.000000000000000000,318
MF310187A92E,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,128
W7010774ADSB,CODE HERITAGE LEGGING,G,70,PANT,B1,Jersey Pant,1.000000000000000000,39
M1110247A6CY,CLASSIC PIQUE POLO,M,11,POLO,T1,Pique Polo (M),1.000000000000000000,124
M1110345AZTV,VINT DESTROY POLO,M,11,POLO,T1,Pique Polo (M),1.000000000000000000,249
M3010212A9AI,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,1.000000000000000000,249

