No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011559A02A,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,761
M1011559AHSZ,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,423
W7010802AJKE,CODE S LOGO ELASTIC LEGGING,G,70,PANT,B1,Jersey Pant,3.000000000000000000,318
M2011828A5EG,VINTAGE CORP LOGO MARL HOOD,M,20,SWEATS,G1,Overhead Hood,3.000000000000000000,509
W7010802AJAR,CODE S LOGO ELASTIC LEGGING,G,70,PANT,B1,Jersey Pant,2.000000000000000000,159
M1011637A5OT,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1110349AUM2,VINTAGE SUPERSTATE POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,374
M4010620A9DL,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,558
MF310222A7XQ,CODE CORE VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,239
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,254

