No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M7010793AL3L,CORE CARGO,M,70,PANT,B4,Woven Pant,4.000000000000000000,1292
M5011436AHMB,HERITAGE LEATHER MOTO RACER,M,50,JACKET,A3,Leather,1.000000000000000000,886
W8011293A8YM,VINTAGE MIDI HALTER SLIP DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,2.000000000000000000,798
M7010793A3LS,CORE CARGO,M,70,PANT,B4,Woven Pant,3.000000000000000000,738
M5011433A02A,VINTAGE LEATHER BIKER,M,50,JACKET,A3,Leather,1.000000000000000000,683
M1011473A8PV,VINTAGE SCRIPT WORKWEAR TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,600
W2011613A8PV,CODE CORE SPORT HALF ZIP,G,20,SWEATS,G3,Sweats,3.000000000000000000,515
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,510
M1011538A7FJ,VINTAGE AC RAGLAN TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M7010890A6AE,VINTAGE SKINNY JEANS,M,70,PANT,B2,Denim Pant,1.000000000000000000,459

