No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M7110397A8FB,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,6.000000000000000000,992
M7010793AL3L,CORE CARGO,M,70,PANT,B4,Woven Pant,3.000000000000000000,923
M5011433A02A,VINTAGE LEATHER BIKER,M,50,JACKET,A3,Leather,1.000000000000000000,778
MF110248AKH7,CODE CHUNKY BASKET TRAINER,M,F1,SHOE,V6,Trainer,3.000000000000000000,770
W7010798A6IW,VINTAGE MID RISE SKINNY,G,70,PANT,B2,Denim Pant,2.000000000000000000,599
M3010215ABCZ,CODE CORE SPORT 17 INCH SWIM,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,565
M7110401AAFB,VINTAGE HEAVY CARGO SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,509
M3010220A12A,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,498
M3010220AWA7,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,498
M3010211A9KI,STUDIOS SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,498

