No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011588A39E,VINTAGE INDUSTRIAL AUTO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,252
M1011814A34C,RS FOOTBALL GERMANY TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,162
M1011245A4AO,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),3.000000000000000000,194
M1011245A5XD,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),3.000000000000000000,258
M7010987A02A,CODE TECH JOGGER,M,70,PANT,B1,Jersey Pant,3.000000000000000000,554
M7010763A6ZM,VINTAGE STRAIGHT JEAN,M,70,PANT,B2,Denim Pant,3.000000000000000000,297
Y9110252A8QD,CODE MONTANA BACKPACK,G,91,BAGS,Y1,Rucksack,2.000000000000000000,249
WS410115A0TP,COOLMAX ANKLE SOCK,G,S4,Sports Accessories,1U,Sports Sundries,2.000000000000000000,149
M1011633A6GK,VINTAGE CORE LOGO CLASSIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,321
M1011245A33B,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),2.000000000000000000,194

