No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W2011310A02A,CODE TECH ZIP HOOD,G,20,SWEATS,G2,Zip Hood,5.000000000000000000,1197
M4010620A9AI,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,809
W8011266A01C,VINTAGE VEST POLO DRESS,G,80,DRESS & ONE PIECE,D2,Jersey Dress/One Piece,3.000000000000000000,685
M4010648A8ZH,VINTAGE CHECK SHIRT,M,40,SHIRT,R2,L/S Shirt (M),3.000000000000000000,558
M2013243A8PV,CORE LOGO CLASSIC HOOD,M,20,SWEATS,G1,Overhead Hood,2.000000000000000000,509
M7110392A98T,CODE SPORTSWEAR LOOSE SHORT,M,71,SHORT,B9,Jersey Short,2.000000000000000000,498
M1011727A98T,OVERDYED LOGO LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,482
M1011558A7XQ,CODE STACKED LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,473
M3010215A00Q,CODE CORE SPORT 17 INCH SWIM,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,438
M3010215ABCZ,CODE CORE SPORT 17 INCH SWIM,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,438

