No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M7110397A1KK,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,3.000000000000000000,837
W2011310AT7X,CODE TECH ZIP HOOD,G,20,SWEATS,G2,Zip Hood,1.000000000000000000,399
M7010934A8PS,CODE ESSENTIAL OVERDYED JOGGER,M,70,PANT,B1,Jersey Pant,1.000000000000000000,369
M7010934AHSZ,CODE ESSENTIAL OVERDYED JOGGER,M,70,PANT,B1,Jersey Pant,1.000000000000000000,369
M2012075A07Q,CODE CORE SPORT ZIP HOOD,M,20,SWEATS,G2,Zip Hood,1.000000000000000000,339
M4010608AVYJ,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),1.000000000000000000,339
W7010678AT7X,CODE TECH JOGGER,G,70,PANT,B1,Jersey Pant,1.000000000000000000,339
WF110173A04C,LOW PRO CLASSIC SNEAKER,G,F1,SHOE,V6,Trainer,2.000000000000000000,318
M2012562A98T,CODE CORE SPORT HOOD,M,20,SWEATS,G1,Overhead Hood,1.000000000000000000,309
M7110300AL3L,VINTAGE CORE CARGO SHORT,M,71,SHORT,B0,Woven Short,1.000000000000000000,309

