No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011559A02A,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),10.000000000000000000,956
M5011436AHMB,HERITAGE LEATHER MOTO RACER,M,50,JACKET,A3,Leather,1.000000000000000000,886
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,7.000000000000000000,848
M4010648A8ZH,VINTAGE CHECK SHIRT,M,40,SHIRT,R2,L/S Shirt (M),4.000000000000000000,845
M5011359A02A,VINTAGE LEATHER MOTO RACER,M,50,JACKET,A3,Leather,2.000000000000000000,844
M5011433A02A,VINTAGE LEATHER BIKER,M,50,JACKET,A3,Leather,1.000000000000000000,683
W7010712A98T,SLIM CARGO PANT,G,70,PANT,B4,Woven Pant,2.000000000000000000,678
W7010839AVFJ,STUDIOS HIGH RISE SKINNY FLARE,G,70,PANT,B2,Denim Pant,2.000000000000000000,657
M1110031A01C,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),4.000000000000000000,623
W7010798A6IW,VINTAGE MID RISE SKINNY,G,70,PANT,B2,Denim Pant,2.000000000000000000,612

