No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M5011651AVZ7,VINTAGE COLLEGE VARSITY BOMBER,M,50,JACKET,A1,Casual Jacket,2.000000000000000000,1098
M4010620A9AI,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,837
M1011727A9UN,OVERDYED LOGO LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,756
M7010934A8PS,CODE ESSENTIAL OVERDYED JOGGER,M,70,PANT,B1,Jersey Pant,2.000000000000000000,738
M1011727A6SI,OVERDYED LOGO LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,567
M7110394A7DD,VINTAGE STRAIGHT SHORT,M,71,SHORT,M1,Denim Short,2.000000000000000000,558
M7110397A1KK,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,558
M5011651A06A,VINTAGE COLLEGE VARSITY BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,549
M3010211A9KI,STUDIOS SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
M7110392A98T,CODE SPORTSWEAR LOOSE SHORT,M,71,SHORT,B9,Jersey Short,2.000000000000000000,498

