No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011637ABQF,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,504
M1011386A9SN,VINTAGE CL CLASSIC TEE MW,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,395
M1011629A8ML,VINTAGE TRAVEL STICKER TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,420
M1011663A5PI,VINTAGE NOSTALGIA SCRIPT TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,420
M1110031A01C,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),5.000000000000000000,620
MF310187A06G,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,5.000000000000000000,320
M1011637A8PY,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,336
M3010212A8WY,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,4.000000000000000000,496
M1011002A9AY,VL EMBOSS TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,252
M1110252AL6V,VINT DESTROY POLO,M,11,POLO,T1,Pique Polo (M),3.000000000000000000,372

