No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M5011359A02A,VINTAGE LEATHER MOTO RACER,M,50,JACKET,A3,Leather,3.000000000000000000,1290
M3010212A8YY,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,747
M7010793AL3L,CORE CARGO,M,70,PANT,B4,Woven Pant,2.000000000000000000,738
W8011291A8XY,VINTAGE WOVEN JUMPSUIT,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,579
M5011651AVZ7,VINTAGE COLLEGE VARSITY BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,549
M5011498A61Y,CODE XPD RADAR QUILT MIX JKT,M,50,JACKET,A4,Padded,1.000000000000000000,549
WF310185A8QB,CODE LOGO VEGAN POOL SLIDE,G,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507
M1110031A02A,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,498
M1110344A55D,VINTAGE TIPPED S/S POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,498

