No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M5011729A27E,COLLEGE VARSITY PATCHED BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,759
M1011561A10E,CODE ATH. CLUB EMB TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,659
W2012047A71D,ESSENTIAL LOGO ZIP HOODIE,G,20,SWEATS,G2,Zip Hood,2.000000000000000000,610
M2012916AJAR,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,599
M7010987AJAR,CODE TECH JOGGER,M,70,PANT,B1,Jersey Pant,2.000000000000000000,554
Y9110262AYWO,HERITAGE MONTANA,G,91,BAGS,Y1,Rucksack,2.000000000000000000,530
W8011291A8XY,VINTAGE WOVEN JUMPSUIT,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,521
M4010653A98T,COTTON LS OXFORD SHIRT,M,40,SHIRT,R2,L/S Shirt (M),2.000000000000000000,419
M1011627A07K,VINTAGE COPPER LABEL TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
M1011676A8RD,VINTAGE GREAT OUTDOORS APQ TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378

