No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M4010653AH71,COTTON LS OXFORD SHIRT,M,40,SHIRT,R2,L/S Shirt (M),7.000000000000000000,1263
MF110248A3B1,CODE CHUNKY BASKET TRAINER,M,F1,SHOE,V6,Trainer,5.000000000000000000,1148
M5011574A27E,VINTAGE VARSITY PATCHED BOMBER,M,50,JACKET,A1,Casual Jacket,3.000000000000000000,1069
M1110252A06A,VINT DESTROY POLO,M,11,POLO,T1,Pique Polo (M),8.000000000000000000,1055
M4010653A98T,COTTON LS OXFORD SHIRT,M,40,SHIRT,R2,L/S Shirt (M),6.000000000000000000,1002
M7010793AAFB,CORE CARGO,M,70,PANT,B4,Woven Pant,4.000000000000000000,781
M7110391AJUA,VINTAGE GYM ATHLETIC SHORT UB,M,71,SHORT,B9,Jersey Short,5.000000000000000000,773
M1110349A6RH,VINTAGE SUPERSTATE POLO,M,11,POLO,T1,Pique Polo (M),6.000000000000000000,771
M1011537A9BQ,VINTAGE SCRIPT INDIGO WW TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,696
MF110248AKH7,CODE CHUNKY BASKET TRAINER,M,F1,SHOE,V6,Trainer,3.000000000000000000,689

