No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011637A1IP,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,548
M1110252AARX,VINT DESTROY POLO,M,11,POLO,T1,Pique Polo (M),3.000000000000000000,372
W9110342A16A,TARP RUCKSACK,G,91,BAGS,Y1,Rucksack,2.000000000000000000,554
WF310184A3KU,CODE CORE VEGAN POOL SLIDE,G,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,318
M1011626A7PR,VINTAGE COOPER CLASS RGLN TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,168
M1011697A01C,VINTAGE VL STORE CLASSIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1011741A9VI,VINTAGE PHOTOGRAPHIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,321
MF310223A10E,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,169
MF310223AM4R,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,169
MF310237AADQ,VINTAGE VEGAN FLIP FLOP,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,194

