No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011296A7PS,VINTAGE BASEBALL TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),5.000000000000000000,350
M1011353A6RT,VL TEE TRIPLE PACK,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,428
M1011386AJ6P,VINTAGE CL CLASSIC TEE MW,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,323
M1011473A00Q,VINTAGE SCRIPT WORKWEAR TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,345
M1011245AR6W,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),4.000000000000000000,265
M1011317A5XZ,VINTAGE VL CLASSIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,267
M1011358BOPI,CODE SL APPLIQUE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,197
M2011894BOPI,CODE SL STACKED APQ HOOD,M,20,SWEATS,G1,Overhead Hood,3.000000000000000000,262
M3010187AOPI,CODE APPLQUE 19INCH SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,199
M3010188AA6I,VINTAGE VARSITY SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,196

