No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M2013105AJAR,SPORTSWEAR LOGO LOOSE ZIP HOOD,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,738
M2012916A02A,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,3.000000000000000000,599
Y9110262AYWO,HERITAGE MONTANA,G,91,BAGS,Y1,Rucksack,2.000000000000000000,530
M1110349ALO3,APPLIQUE CLASSIC FIT POLO,M,11,POLO,T1,Pique Polo (M),4.000000000000000000,498
M4010623A01C,VINTAGE OXFORD S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,419
W8011315A7XQ,CODE SL STRAPPY DRESS,G,80,DRESS & ONE PIECE,D2,Jersey Dress/One Piece,2.000000000000000000,416
M7010888A6DN,VINTAGE SLIM JEAN,M,70,PANT,B2,Denim Pant,1.000000000000000000,413
M7010888A6DN,VINTAGE SLIM JEANS,M,70,PANT,B2,Denim Pant,1.000000000000000000,413
W8011293A8XY,VINTAGE MIDI HALTER SLIP DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,399
W8011411A8VB,VINTAGE LONG HALTER CAMI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,399
Y9110252A02A,CODE MONTANA BACKPACK,G,91,BAGS,Y1,Rucksack,2.000000000000000000,374

