No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
Y9010073A04C,VINTAGE EMBROIDERED CAP,G,90,HATS,Z2,Cap,4.000000000000000000,516
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,676
MF310190A3H1,VINTAGE CLASSIC FLIP FLOP,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,162
W1010862A7TA,VINTAGE COOPER NOSTALGIA TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),2.000000000000000000,138
M1011629A8ML,VINTAGE TRAVEL STICKER TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1011681AT7X,CODE OSAKA LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1011245A5XW,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),2.000000000000000000,258
M2013068A97T,VINTAGE GYM ATH ZIPHOOD UB,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,738
M3010218A8MB,VINTAGE RIPSTOP SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,438
M4010608A01C,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,678

