No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011245A4AO,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),4.000000000000000000,516
W6011173A7LR,VINTAGE BASEBALL L/S TOP,G,60,TOPS,T15,Long Sleeve Top (W),3.000000000000000000,237
Y9011009A16A,VINTAGE TRUCKER CAP,G,90,HATS,Z2,Cap,3.000000000000000000,417
M1110349A01C,VINTAGE SUPERSTATE POLO,M,11,POLO,T1,Pique Polo (M),3.000000000000000000,747
M7010987A02A,CODE TECH JOGGER,M,70,PANT,B1,Jersey Pant,3.000000000000000000,1107
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507
M1011398AZUC,VINTAGE GAME ON 90S TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,168
M3010172A28R,STUDIOS SD SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,218
M3010188AA6I,VINTAGE VARSITY SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,218
M4010620A8UL,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,558

