No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011634AT7X,CODE ATH. CLUB GRAPHIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,1183
W5011530ASPR,VINTAGE EMB SUIKAJAN,G,50,JACKET,A1,Casual Jacket,2.000000000000000000,1158
M7010987A02A,CODE TECH JOGGER,M,70,PANT,B1,Jersey Pant,3.000000000000000000,1107
M1011559AHSZ,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,1014
M4010608AVYJ,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,983
M4010620ACP7,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),4.000000000000000000,949
M1011585A18C,VINTAGE CREATURES TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,945
M3010215ABCZ,CODE CORE SPORT 17 INCH SWIM,M,30,SWIMWEAR,W2,Swim Shorts,4.000000000000000000,876
M1011559A02A,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,845
M1011559A3KU,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,845

