No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,592
M1011322AZUC,VINTAGE VL INTEREST TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,273
M1011559A3KU,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M1011637A6SI,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,252
W7110400A6EJ,VINTAGE MID RISE SLIM SHORT,G,71,SHORT,M1,Denim Short,2.000000000000000000,558
Y9011007A3KU,CODE SL B BOY CAP,G,90,HATS,Z2,Cap,2.000000000000000000,258
W9110340AOMG,VINTAGE TERRAIN MONTANA,G,91,BAGS,Y1,Rucksack,2.000000000000000000,249
WF310185A44C,CODE LOGO VEGAN POOL SLIDE,G,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,338
M1110247AZ7Z,CLASSIC PIQUE POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,248
MF310222AHSZ,CODE CORE VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,318

