No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W1010862A7TA,VINTAGE COOPER NOSTALGIA TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),5.000000000000000000,345
M1110293A07Q,VINTAGE SUPERSTATE POLO,M,11,POLO,T1,Pique Polo (M),5.000000000000000000,620
M3010193A5UX,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,5.000000000000000000,270
M1011353A6RT,VL TEE TRIPLE PACK,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,856
M1011637A02A,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
M1011637AT7X,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
M1011245A5WX,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),4.000000000000000000,516
M1011245A5XW,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),4.000000000000000000,516
M3010172A5DA,STUDIOS SD SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,4.000000000000000000,436
M3010188A3H1,VINTAGE VARSITY SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,4.000000000000000000,436

