No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011245A44C,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),4.000000000000000000,323
MF310187A06G,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,256
W1010977A71D,VINTAGE COOPER CLASSIC RGR TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),3.000000000000000000,237
M1011472A98T,VINTAGE VL TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,252
M1011561A10E,CODE ATH. CLUB EMB TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,490
M1011629AQLI,VINTAGE TRAVEL STICKER TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,252
M1011697A01C,VINTAGE VL STORE CLASSIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M1011754A9VI,CORE LOGO CLASSIC T SHIRT,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,567
M7110355A02A,CODE ESSENTIAL OVERDYED SHORT,M,71,SHORT,B9,Jersey Short,3.000000000000000000,837
MS311456A7MN,CORE RELAXED SHORTS,M,S3,Sports Apparel,1K,Sports Shorts/Skirt,3.000000000000000000,192

