No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M2013068A97T,VINTAGE GYM ATH ZIPHOOD UB,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,738
M4010608A01C,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,678
M7110401AHDP,VINTAGE HEAVY CARGO SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,678
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,676
Y9010073A04C,VINTAGE EMBROIDERED CAP,G,90,HATS,Z2,Cap,4.000000000000000000,516
M1110343A01C,CLASSIC PIQUE POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,498
M1110349AZ7Z,VINTAGE SUPERSTATE POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,498
M7010890A6JB,VINTAGE SKINNY JEAN,M,70,PANT,B2,Denim Pant,1.000000000000000000,459
M7010890A6JB,VINTAGE SKINNY JEANS,M,70,PANT,B2,Denim Pant,1.000000000000000000,459
M3010218A8MB,VINTAGE RIPSTOP SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,438
M2011804A02A,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,1.000000000000000000,399

