No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011561A10E,CODE ATH. CLUB EMB TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,659
M1011245AB3D,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),3.000000000000000000,194
W2012047A71D,ESSENTIAL LOGO ZIP HOODIE,G,20,SWEATS,G2,Zip Hood,2.000000000000000000,610
W6011643A9EG,VINTAGE LOGO VEST,G,60,TOPS,T8,Jersey Vest,2.000000000000000000,198
W7010907A98T,CODE ESSENTIAL LEGGING,G,70,PANT,B1,Jersey Pant,2.000000000000000000,359
Y9110261A02A,NYC MONTANA,G,91,BAGS,Y1,Rucksack,2.000000000000000000,279
M1011558A7XQ,CODE STACKED LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,321
M1011676A8RD,VINTAGE GREAT OUTDOORS APQ TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
M4010623A5OO,VINTAGE OXFORD S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,279
M4010653A98T,COTTON LS OXFORD SHIRT,M,40,SHIRT,R2,L/S Shirt (M),2.000000000000000000,419

