No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W5011541A98T,COLLEGE PATCHED VARSITY BOMBER,G,50,JACKET,A1,Casual Jacket,1.000000000000000000,729
W8011294A12A,VINTAGE LONG BEACH CAMI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,2.000000000000000000,678
W9110351A02A,TARP BARREL BAG,G,91,BAGS,Y4,Shoulder,1.000000000000000000,429
W2011310A02A,CODE TECH ZIP HOOD,G,20,SWEATS,G2,Zip Hood,2.000000000000000000,399
M2012916A02A,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,399
M2012916A6SI,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,1.000000000000000000,399
M1011750A1FE,TONAL VL T SHIRT,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,359
M1011754A3KO,CORE LOGO CLASSIC T SHIRT,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,340
W5011214A02A,VINTAGE VARSITY WOOL PU BOMBER,G,50,JACKET,A1,Casual Jacket,1.000000000000000000,334
W7010678AT7X,CODE TECH JOGGER,G,70,PANT,B1,Jersey Pant,1.000000000000000000,305

