No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011559A02A,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),10.000000000000000000,956
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,7.000000000000000000,848
M1011581A06A,VINTAGE TRIBAL SURF TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,507
W1010797ABCY,VINTAGE CORP LOGO MARL TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),4.000000000000000000,285
M1011473A8PV,VINTAGE SCRIPT WORKWEAR TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,341
M1011473A9CK,VINTAGE SCRIPT WORKWEAR TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,341
M1110031A01C,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),4.000000000000000000,623
M4010648A8ZH,VINTAGE CHECK SHIRT,M,40,SHIRT,R2,L/S Shirt (M),4.000000000000000000,845
M4010653A01C,COTTON LS OXFORD SHIRT,M,40,SHIRT,R2,L/S Shirt (M),4.000000000000000000,558
MS311290AA7H,STRETCH WOVEN TRACK PANT,M,S3,Sports Apparel,1P,Sports Pants,4.000000000000000000,368

