No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,5.000000000000000000,777
M4010608A01C,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),4.000000000000000000,1356
M3010212A8YZ,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,747
M4010557A6WZ,VINTAGE PATCHED MILITARY SHIRT,M,40,SHIRT,R2,L/S Shirt (M),3.000000000000000000,385
MF310223A10E,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507
Y9011009A9HL,VINTAGE TRUCKER CAP,G,90,HATS,Z2,Cap,2.000000000000000000,278
M1011633A6GK,VINTAGE CORE LOGO CLASSIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1110031A02A,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,498
MS311339A4MD,TRAIN MOCK NECK TOP,M,S3,Sports Apparel,1T,Sports Tops,2.000000000000000000,149

