No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W1010844A01C,VINTAGE VENUE INTEREST TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),2.000000000000000000,138
W1010844A07Q,VINTAGE VENUE INTEREST TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),2.000000000000000000,138
W1010862A7TA,VINTAGE COOPER NOSTALGIA TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),2.000000000000000000,138
WF310185A8QB,CODE LOGO VEGAN POOL SLIDE,G,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,254
M1011358B07Q,CODE SL APPLIQUE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,188
M1011637A8PY,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1011245A44C,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),2.000000000000000000,258
M7110298A92N,VINTAGE OVERDYED SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,558
M7110381A98T,VLE JERSEY SHORT,M,71,SHORT,B9,Jersey Short,2.000000000000000000,374
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,338

