"Offer No."	"Type"	"No."	"Variant Type"	"Variant Code"	"Exclude"	"Unit of Measure"	"Description"	"No. of Items Needed"	"Line Group"	"Deal Price/Disc. %"	"Disc. Type"	"Standard Price"	"Standard Price Including VAT"	"Discount Amount"	"Discount Amount Including VAT"	"Offer Price"	"Offer Price Including VAT"

"QAT-MM-00004"	"Item"	"5059726221003"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221010"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221027"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221034"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221041"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221188"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221195"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221201"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221218"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221225"	" "	""	"No"	""	"CL TEE"	"0"	""	"50.35971"	"Disc. %"	"139.00"	"139.00"	"70.00"	"70.00"	"69.00"	"69.00"
"QAT-MM-00004"	"Item"	"5059726221744"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221751"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221768"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221775"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221782"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221805"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221812"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221829"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221836"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221843"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221867"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221874"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221881"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221898"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221904"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221928"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221935"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221942"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221959"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221966"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221980"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
"QAT-MM-00004"	"Item"	"5059726221997"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"50.3876"	"Disc. %"	"129.00"	"129.00"	"65.00"	"65.00"	"64.00"	"64.00"
