No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011473A9CK,VINTAGE SCRIPT WORKWEAR TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,523
M1011626A7FE,VINTAGE COOPER CLASS RGLN TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,352
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,676
M1011386AJ6P,VINTAGE CL CLASSIC TEE MW,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,249
M1011581A71D,VINTAGE TRIBAL SURF TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,423
M1011637AT7X,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M1011385A01C,CODE SL POCKET TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),3.000000000000000000,241
M1011385A02A,CODE SL POCKET TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),3.000000000000000000,318
M1110305A98T,VINTAGE LAUNDERED L/S RUGBY,M,11,POLO,T1,Pique Polo (M),3.000000000000000000,268
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507

