No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W9110336A02A,CODE CLASSIC MULTI BUMBAG,G,91,BAGS,Y4,Shoulder,3.000000000000000000,417
W7010736A27E,VINTAGE PRIDE & CRAFT JOGGER,G,70,PANT,B1,Jersey Pant,2.000000000000000000,168
M1011538A9AC,VINTAGE AC RAGLAN TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1011629A8ML,VINTAGE TRAVEL STICKER TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,168
M1011755A5PI,TONAL EMBROIDERED LOGO T SHIRT,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
M3010218AJ6P,VINTAGE RIPSTOP SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,438
M7010966AZUC,VLE STRAIGHT JOGGER,M,70,PANT,B1,Jersey Pant,2.000000000000000000,338
M7110355A02A,CODE ESSENTIAL OVERDYED SHORT,M,71,SHORT,B9,Jersey Short,2.000000000000000000,419
MF310187A06G,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,128
MF310222AHSZ,CODE CORE VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,318

