No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M7110298A92N,VINTAGE OVERDYED SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,558
M7010890A9EC,VINTAGE SKINNY JEANS,M,70,PANT,B2,Denim Pant,1.000000000000000000,459
M2012916AHNR,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,1.000000000000000000,399
M7110381A98T,VLE JERSEY SHORT,M,71,SHORT,B9,Jersey Short,2.000000000000000000,374
M7010987AHNR,CODE TECH JOGGER,M,70,PANT,B1,Jersey Pant,1.000000000000000000,369
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,338
M1011637A8PY,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
M1011637AT7X,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,338
W2011613A8PV,CODE CORE SPORT HALF ZIP,G,20,SWEATS,G3,Sweats,1.000000000000000000,309
M4010620ACP7,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),1.000000000000000000,279

