No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M3010172A6YM,STUDIOS SD SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,8.000000000000000000,872
M3010193A5UX,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,8.000000000000000000,432
M1011637A5OT,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,1099
M1011637A02A,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,930
M3010187AVQH,CODE APPLQUE 19INCH SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,6.000000000000000000,744
W1010862A7TA,VINTAGE COOPER NOSTALGIA TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),5.000000000000000000,345
W1010873A12A,VINTAGE LOGO BOROUGH TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),5.000000000000000000,395
W1010919A01C,VINTAGE LOGO BOX FIT TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),5.000000000000000000,395
W1011045A7KE,CODE HERITAGE BOXY OS TEE,G,10,T.SHIRT,C4,Basic Non-Printed T.Shirt (W),5.000000000000000000,420
M1011397AETZ,VINTAGE COLLEGIATE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,470

