No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M3010220ATSW,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,747
M4010608A01C,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,678
M1011637AT7X,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M3010212A8RV,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
M3010220A12A,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
M3010220A27E,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
W2011782A7QD,VLE BASEBALL ZIPHOOD,G,20,SWEATS,G2,Zip Hood,2.000000000000000000,467
MF110248AKH7,CODE CHUNKY BASKET TRAINER,M,F1,SHOE,V6,Trainer,1.000000000000000000,459
M3010215ABCZ,CODE CORE SPORT 17 INCH SWIM,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,438
W2011457A39E,VINTAGE LOGO BOROUGH HOOD,G,20,SWEATS,G1,Overhead Hood,2.000000000000000000,418

