"Offer No."	"Type"	"No."	"Variant Type"	"Variant Code"	"Exclude"	"Unit of Measure"	"Description"	"No. of Items Needed"	"Line Group"	"Deal Price/Disc. %"	"Disc. Type"	"Standard Price"	"Standard Price Including VAT"	"Discount Amount"	"Discount Amount Including VAT"	"Offer Price"	"Offer Price Including VAT"

"QAT-MM-00010"	"Item"	"5059726221980"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"75.1938"	"Disc. %"	"129.00"	"129.00"	"97.00"	"97.00"	"32.00"	"32.00"
"QAT-MM-00010"	"Item"	"5059726221997"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"75.1938"	"Disc. %"	"129.00"	"129.00"	"97.00"	"97.00"	"32.00"	"32.00"
"QAT-MM-00010"	"Item"	"5059726222000"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"75.1938"	"Disc. %"	"129.00"	"129.00"	"97.00"	"97.00"	"32.00"	"32.00"
"QAT-MM-00010"	"Item"	"5059726222017"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"75.1938"	"Disc. %"	"129.00"	"129.00"	"97.00"	"97.00"	"32.00"	"32.00"
"QAT-MM-00010"	"Item"	"5059726222024"	" "	""	"No"	""	"CODE CORE SPORT TEE"	"0"	""	"75.1938"	"Disc. %"	"129.00"	"129.00"	"97.00"	"97.00"	"32.00"	"32.00"
"QAT-MM-00010"	"Item"	"5059726014933"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726014940"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726014957"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726014964"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726014971"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015008"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015015"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015022"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015039"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015046"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726148027"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726148034"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726148041"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726148058"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726148065"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015077"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015084"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015091"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015107"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5059726015114"	" "	""	"No"	""	"CODE SL APPLIQUE LOOSE TEE"	"0"	""	"75.13228"	"Disc. %"	"189.00"	"189.00"	"142.00"	"142.00"	"47.00"	"47.00"
"QAT-MM-00010"	"Item"	"5057847017017"	" "	""	"No"	""	"MOUNTAIN SPORT MONO MINI TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5057847017024"	" "	""	"No"	""	"MOUNTAIN SPORT MONO MINI TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5057847017031"	" "	""	"No"	""	"MOUNTAIN SPORT MONO MINI TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5057847017048"	" "	""	"No"	""	"MOUNTAIN SPORT MONO MINI TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5057847017055"	" "	""	"No"	""	"MOUNTAIN SPORT MONO MINI TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5057847398116"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398123"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398130"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398147"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398154"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398185"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398192"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398208"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398215"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847398222"	" "	""	"No"	""	"SCRIPT STYLE WW FOIL TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847287335"	" "	""	"No"	""	"SUPERDRY CODE MICRO LOGO TEE"	"0"	""	"75.14793"	"Disc. %"	"169.00"	"169.00"	"127.00"	"127.00"	"42.00"	"42.00"
"QAT-MM-00010"	"Item"	"5057847287342"	" "	""	"No"	""	"SUPERDRY CODE MICRO LOGO TEE"	"0"	""	"75.14793"	"Disc. %"	"169.00"	"169.00"	"127.00"	"127.00"	"42.00"	"42.00"
"QAT-MM-00010"	"Item"	"5057847287359"	" "	""	"No"	""	"SUPERDRY CODE MICRO LOGO TEE"	"0"	""	"75.14793"	"Disc. %"	"169.00"	"169.00"	"127.00"	"127.00"	"42.00"	"42.00"
"QAT-MM-00010"	"Item"	"5057847287366"	" "	""	"No"	""	"SUPERDRY CODE MICRO LOGO TEE"	"0"	""	"75.14793"	"Disc. %"	"169.00"	"169.00"	"127.00"	"127.00"	"42.00"	"42.00"
"QAT-MM-00010"	"Item"	"5057847287373"	" "	""	"No"	""	"SUPERDRY CODE MICRO LOGO TEE"	"0"	""	"75.14793"	"Disc. %"	"169.00"	"169.00"	"127.00"	"127.00"	"42.00"	"42.00"
"QAT-MM-00010"	"Item"	"5059726090159"	" "	""	"No"	""	"VINTAGE COOPER CLASSIC TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090166"	" "	""	"No"	""	"VINTAGE COOPER CLASSIC TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090173"	" "	""	"No"	""	"VINTAGE COOPER CLASSIC TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090180"	" "	""	"No"	""	"VINTAGE COOPER CLASSIC TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090197"	" "	""	"No"	""	"VINTAGE COOPER CLASSIC TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726013110"	" "	""	"No"	""	"VINTAGE LOGO BOROUGH TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726013127"	" "	""	"No"	""	"VINTAGE LOGO BOROUGH TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726013134"	" "	""	"No"	""	"VINTAGE LOGO BOROUGH TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726013141"	" "	""	"No"	""	"VINTAGE LOGO BOROUGH TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726013158"	" "	""	"No"	""	"VINTAGE LOGO BOROUGH TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091552"	" "	""	"No"	""	"VINTAGE LOGO BOX FIT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091569"	" "	""	"No"	""	"VINTAGE LOGO BOX FIT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091576"	" "	""	"No"	""	"VINTAGE LOGO BOX FIT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091583"	" "	""	"No"	""	"VINTAGE LOGO BOX FIT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091590"	" "	""	"No"	""	"VINTAGE LOGO BOX FIT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726090500"	" "	""	"No"	""	"VINTAGE LOGO RAINBOW TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090517"	" "	""	"No"	""	"VINTAGE LOGO RAINBOW TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090524"	" "	""	"No"	""	"VINTAGE LOGO RAINBOW TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090531"	" "	""	"No"	""	"VINTAGE LOGO RAINBOW TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726090548"	" "	""	"No"	""	"VINTAGE LOGO RAINBOW TEE"	"0"	""	"75.53957"	"Disc. %"	"139.00"	"139.00"	"105.00"	"105.00"	"34.00"	"34.00"
"QAT-MM-00010"	"Item"	"5059726091279"	" "	""	"No"	""	"VINTAGE PRIDE & CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091286"	" "	""	"No"	""	"VINTAGE PRIDE & CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091293"	" "	""	"No"	""	"VINTAGE PRIDE & CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091309"	" "	""	"No"	""	"VINTAGE PRIDE & CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5059726091316"	" "	""	"No"	""	"VINTAGE PRIDE & CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847641045"	" "	""	"No"	""	"VINTAGE PRIDE IN CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847641052"	" "	""	"No"	""	"VINTAGE PRIDE IN CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847641069"	" "	""	"No"	""	"VINTAGE PRIDE IN CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847641076"	" "	""	"No"	""	"VINTAGE PRIDE IN CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
"QAT-MM-00010"	"Item"	"5057847641083"	" "	""	"No"	""	"VINTAGE PRIDE IN CRAFT TEE"	"0"	""	"75.4717"	"Disc. %"	"159.00"	"159.00"	"120.00"	"120.00"	"39.00"	"39.00"
