No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
WF310184A8DB,CODE CORE VEGAN POOL SLIDE,G,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,477
W8011293A8XY,VINTAGE MIDI HALTER SLIP DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,399
M1011732A1KS,CODE TECH GRAPHIC LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
M3010211A9KH,STUDIOS SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,374
M3010212A8RV,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,374
M3010212A8YY,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,374
MS311498A98T,GYMTECH JOGGER,M,70,PANT,1P,Sports Pants,1.000000000000000000,369
W8011421A9VX,SATIN CAMI MIDI SLIP DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,369
W8011433A71D,VINTAGE COLD SHOLD MINI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,339
M2012075AGUL,CODE CORE SPORT ZIP HOOD,M,20,SWEATS,G2,Zip Hood,1.000000000000000000,339

