No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011559A02A,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,761
M1011322AZUC,VINTAGE VL INTEREST TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,376
M1011814A34C,RS FOOTBALL GERMANY TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,216
W9110336A02A,CODE CLASSIC MULTI BUMBAG,G,91,BAGS,Y4,Shoulder,3.000000000000000000,417
M1011559A3KU,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,423
M1011824A34C,RS FOOTBALL SPAIN TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,162
M4010620A8YZ,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,417
M4010620ACP7,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,837
W9110340A3B1,VINTAGE TERRAIN MONTANA,G,91,BAGS,Y1,Rucksack,2.000000000000000000,374
MS311404A01C,ACTIVE VEST,M,S3,Sports Apparel,1T,Sports Tops,2.000000000000000000,258

