No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W1010982AZML,VINTAGE EMBELLISH TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),2.000000000000000000,321
WS410115A0TP,COOLMAX ANKLE SOCK,G,S4,Sports Accessories,1U,Sports Sundries,2.000000000000000000,198
M1011726AT7X,SPORTSWEAR LOGO LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
M1011727A6SI,OVERDYED LOGO LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
M6010755A71D,VINTAGE TERRAIN CLASSIC VEST,M,60,TOPS,T8,Jersey Vest,2.000000000000000000,278
Y9110161A4AQ,VINTAGE PRINTED MONTANA,G,91,BAGS,Y1,Rucksack,1.000000000000000000,125
M1011821AV5V,RS FOOTBALL NETHERLANDS TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),1.000000000000000000,54
M1011245AC22,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),1.000000000000000000,65
M2012916AHNR,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,1.000000000000000000,200
Y9110157A8KX,CODE MTN TARP,M,91,BAGS,Y1,Rucksack,1.000000000000000000,170

