No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W9110336A8PU,CODE CLASSIC MULTI BUMBAG,G,91,BAGS,Y4,Shoulder,4.000000000000000000,528
M1011741A9VI,VINTAGE PHOTOGRAPHIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,642
M1011826A12A,RS FOOTBALL BELGIUM TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,216
M1011245A07A,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),4.000000000000000000,323
M1011245A33B,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),4.000000000000000000,323
W9110342A16A,TARP RUCKSACK,G,91,BAGS,Y1,Rucksack,3.000000000000000000,554
M1110343AA3Z,CLASSIC PIQUE POLO,M,11,POLO,T1,Pique Polo (M),3.000000000000000000,374
M4010623AM01,VINTAGE OXFORD S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,558
M4010653A98T,COTTON LS OXFORD SHIRT,M,40,SHIRT,R2,L/S Shirt (M),3.000000000000000000,419
M7011014AAFB,CORE CARGO PANT,M,70,PANT,B4,Woven Pant,3.000000000000000000,1070

