No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M4010620ACP7,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,837
M1011559A02A,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,761
M7010934A10C,CODE ESSENTIAL OVERDYED JOGGER,M,70,PANT,B1,Jersey Pant,2.000000000000000000,738
M7110401AAFB,VINTAGE HEAVY CARGO SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,678
W8011297A8RT,VINTAGE NOTCH NECK MINI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,2.000000000000000000,678
M5011574A27E,VINTAGE VARSITY PATCHED BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
MS311475A4H0,WATERPROOF JACKET,M,S3,Sports Apparel,1J,Sports Jkts,1.000000000000000000,609
W8011411A98T,VINTAGE LONG HALTER CAMI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,2.000000000000000000,599
M1011559A3KU,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,423
M5011359A02A,VINTAGE LEATHER MOTO RACER,M,50,JACKET,A3,Leather,1.000000000000000000,422

