No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
W1010978AI3P,VINTAGE ATHLETIC TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),7.000000000000000000,537
M1011822ABII,RS FOOTBALL ARGENTINA TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,373
M1011245A6BG,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),7.000000000000000000,442
M1011322A02A,VINTAGE VL INTEREST TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,545
M1011322AZUC,VINTAGE VL INTEREST TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,555
M1011386A9SN,VINTAGE CL CLASSIC TEE MW,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,458
M1011559A3KU,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,1014
M1110031AA3Z,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),6.000000000000000000,744
M1110247AZ7Z,CLASSIC PIQUE POLO,M,11,POLO,T1,Pique Polo (M),6.000000000000000000,744
MF310187A06G,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,6.000000000000000000,378

