No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011002A9DK,VL EMBOSS TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),10.000000000000000000,832
M1011296A7FF,VINTAGE BASEBALL TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),10.000000000000000000,683
M1011245A6BG,VINTAGE LOGO EMB TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),9.000000000000000000,570
M1011296A6GP,VINTAGE BASEBALL TEE,M,10,T.SHIRT,C2,Non-Printed T.Shirt (M),7.000000000000000000,462
M1110031A01C,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),7.000000000000000000,856
M1110252A06A,VINT DESTROY POLO,M,11,POLO,T1,Pique Polo (M),7.000000000000000000,843
M1110252AARX,VINT DESTROY POLO,M,11,POLO,T1,Pique Polo (M),7.000000000000000000,893
W1010797ABCY,VINTAGE CORP LOGO MARL TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),6.000000000000000000,407
M1011331AZUC,VINTAGE ATHLETIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),6.000000000000000000,458
MF310187A06G,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,6.000000000000000000,384

