No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M4010620A9DL,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),4.000000000000000000,977
M5011257A02A,VINTAGE LEATHER MOTO BIKER,M,50,JACKET,A3,Leather,1.000000000000000000,844
M4010620A8YZ,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),3.000000000000000000,837
M1011822ABII,RS FOOTBALL ARGENTINA TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),7.000000000000000000,763
W5011352A02A,VINTAGE BOYFRIEND BIKER JACKET,G,50,JACKET,A3,Leather,1.000000000000000000,754
M3010212A8YZ,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,747
M1011355A98T,CL TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
M1011663A98T,VINTAGE NOSTALGIA SCRIPT TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
M5011455A98T,VINTAGE MILITARY PARKA,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
MF310222A35C,CODE CORE VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,636

