No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M7010793AAFB,CORE CARGO,M,70,PANT,B4,Woven Pant,2.000000000000000000,738
W1010982AZML,VINTAGE EMBELLISH TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),3.000000000000000000,507
W2011457A39E,VINTAGE LOGO BOROUGH HOOD,G,20,SWEATS,G1,Overhead Hood,3.000000000000000000,507
M1011633AUR5,VINTAGE CORE LOGO CLASSIC TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M1011681AT7X,CODE OSAKA LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507
M3010220A0VT,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
M7110392A98T,CODE SPORTSWEAR LOOSE SHORT,M,71,SHORT,B9,Jersey Short,2.000000000000000000,498
M4010620A8RS,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,488
MF310222A7XQ,CODE CORE VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,477
MS311301AADQ,CORE RELAXED SHORTS,M,S3,Sports Apparel,1K,Sports Shorts/Skirt,3.000000000000000000,387

