No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M5011729A27E,COLLEGE VARSITY PATCHED BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,683
W8011439A71D,VINTAGE EMB JUMPSUIT,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,429
W7010839AVFJ,STUDIOS HIGH RISE SKINNY FLARE,G,70,PANT,B2,Denim Pant,1.000000000000000000,399
M1011726AT7X,SPORTSWEAR LOGO LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
M1011727A6SI,OVERDYED LOGO LOOSE TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),2.000000000000000000,378
W8011421A9VZ,SATIN CAMI MIDI SLIP DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,369
M9710054A9NT,SDR GARRITSEN,M,97,SUNGLASSES,X5,Sunglasses,1.000000000000000000,339
M2013116A98T,ESSENTIAL LOGO ZIP HOODIE,M,20,SWEATS,G2,Zip Hood,1.000000000000000000,339
M4010608AVYJ,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),1.000000000000000000,339
W1010982AZML,VINTAGE EMBELLISH TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),2.000000000000000000,321

