No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M4010620A8RS,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,558
M4010620A9FC,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,558
W1011200A06A,VINTAGE VL EMBELLISHED TEE,G,10,T.SHIRT,C3,Basic Printed T.Shirt (W),5.000000000000000000,518
WF310185A8QB,CODE LOGO VEGAN POOL SLIDE,G,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507
MF310223A16A,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,507
M3010211A9KJ,STUDIOS SWIM SHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
M3010212A8YY,VINTAGE HAWAIIAN SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
M3010220A0VT,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498
M1011629A8ML,VINTAGE TRAVEL STICKER TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),5.000000000000000000,425
W7010802A02A,CODE S LOGO ELASTIC LEGGING,G,70,PANT,B1,Jersey Pant,5.000000000000000000,400

