No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M5011498A61Y,CODE XPD RADAR QUILT MIX JKT,M,50,JACKET,A4,Padded,2.000000000000000000,1098
M5011420A12A,VINTAGE HOODED MID LAYER,M,50,JACKET,A4,Padded,3.000000000000000000,867
M1011353A6RT,VL TEE TRIPLE PACK,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,856
M2012916A02A,CODE TECH ZIP HOOD,M,20,SWEATS,G2,Zip Hood,2.000000000000000000,798
M5011138ATHY,TROPICAL COMBAT JACKET,M,50,JACKET,A1,Casual Jacket,3.000000000000000000,777
M7010886A7BN,VINTAGE STRAIGHT JEAN,M,70,PANT,B2,Denim Pant,3.000000000000000000,687
W8011316A5WB,VINTAGE LOGO EMB SWEAT DRESS,G,80,DRESS & ONE PIECE,D2,Jersey Dress/One Piece,4.000000000000000000,676
M1011637A02A,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
M1011637AT7X,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
M1011353A6RU,VL TEE TRIPLE PACK,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,642

