No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
Y9110157AVI3,CODE MTN TARP,M,91,BAGS,Y1,Rucksack,2.000000000000000000,678
M5011455A7JM,VINTAGE MILITARY PARKA,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
M5011455A98T,VINTAGE MILITARY PARKA,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
WS311718A8DS,WATERPROOF JACKET,G,S3,Sports Apparel,1J,Sports Jkts,1.000000000000000000,609
MF310223A44C,CODE LOGO VEGAN POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,4.000000000000000000,592
W7110400A01C,VINTAGE MID RISE SLIM SHORT,G,71,SHORT,M1,Denim Short,2.000000000000000000,558
W7110400A6EJ,VINTAGE MID RISE SLIM SHORT,G,71,SHORT,M1,Denim Short,2.000000000000000000,558
M7110397A01C,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,2.000000000000000000,558
M5011651A06A,VINTAGE COLLEGE VARSITY BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,549
M1011559A3KU,CODE ESSENTIAL OVERDYED TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,507

