No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M7110397A1KK,VINTAGE INTERNATIONAL SHORT,M,71,SHORT,B0,Woven Short,3.000000000000000000,837
MF310187ATSW,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,3.000000000000000000,192
W9110331A8PU,CODE STASH BAG,G,91,BAGS,Y4,Shoulder,2.000000000000000000,258
WF110173A04C,LOW PRO CLASSIC SNEAKER,G,F1,SHOE,V6,Trainer,2.000000000000000000,318
M1110031A02A,CLASSIC PIQUE S/S POLO,M,11,POLO,T1,Pique Polo (M),2.000000000000000000,248
M3010190AT1C,VINTAGE BOARDSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,248
MF310187A06G,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,128
MF310187A92E,CODE ESSENTIAL POOL SLIDE,M,F3,FLIP FLOP,V7,Flip Flop,2.000000000000000000,128
W8011138A8AU,VINTAGE WOVEN MAXI DRESS,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,189
WF110265A16A,CODE CHUNKY BASKET TRAINER,G,F1,SHOE,V6,Trainer,1.000000000000000000,230

