No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M5011455A98T,VINTAGE MILITARY PARKA,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
W8011291A8XY,VINTAGE WOVEN JUMPSUIT,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,579
W9110342A16A,TARP RUCKSACK,G,91,BAGS,Y1,Rucksack,2.000000000000000000,554
M1011637A1IP,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),3.000000000000000000,548
WF110265A16A,CODE CHUNKY BASKET TRAINER,G,F1,SHOE,V6,Trainer,1.000000000000000000,459
W9110351A02A,TARP BARREL BAG,G,91,BAGS,Y4,Shoulder,1.000000000000000000,429
W8011439A71D,VINTAGE EMB JUMPSUIT,G,80,DRESS & ONE PIECE,D3,Woven Dress/One Piece,1.000000000000000000,429
M1110252AARX,VINT DESTROY POLO,M,11,POLO,T1,Pique Polo (M),3.000000000000000000,372
M4010608A01C,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),1.000000000000000000,339
M4010608A11S,STUDIOS CASUAL LINEN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),1.000000000000000000,339

