No_,Description,DivisionCode,ItemCategoryCode,ICCDesc,ProductGroupCode,PGDesc,Qty,SalesAmt
M1011637A8PY,CODE SURPLUS LOGO TEE,M,10,T.SHIRT,C1,Printed T.Shirt (M),4.000000000000000000,676
M5011459AGEQ,VINTAGE VARSITY CORD BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
M5011574A27E,VINTAGE VARSITY PATCHED BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,669
M3010218A8MB,VINTAGE RIPSTOP SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,3.000000000000000000,657
M4010620A8RQ,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,558
M4010620A8YZ,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,558
M4010620A9FC,VINTAGE HAWAIIAN S/S SHIRT,M,40,SHIRT,R1,S/S Shirt (M),2.000000000000000000,558
M5011651A06A,VINTAGE COLLEGE VARSITY BOMBER,M,50,JACKET,A1,Casual Jacket,1.000000000000000000,549
M7110381A6RG,VLE JERSEY SHORT,M,71,SHORT,B9,Jersey Short,2.000000000000000000,498
M3010220A0VT,VINTAGE POLO SWIMSHORT,M,30,SWIMWEAR,W2,Swim Shorts,2.000000000000000000,498

